Country,Region/State,Zip/Postal Code,Weight from,Weight to,Shipping Price,Delivery Type
IRL,*,*,0,0.05,2.2,Standard Post
IRL,*,*,0.05,0.1,2.4,Standard Post
IRL,*,*,0.1,0.25,3,Standard Post
IRL,*,*,0.25,0.5,4,Standard Post
IRL,*,*,0.5,1,6.5,Standard Post
IRL,*,*,1,1.5,7.5,Standard Post
IRL,*,*,1.5,2,7.5,Standard Post
IRL,*,*,2,2.5,9,Standard Post
IRL,*,*,2.5,3,10,Standard Post
IRL,*,*,3,3.5,11.5,Standard Post
IRL,*,*,3.5,4,12.5,Standard Post
IRL,*,*,4,4.5,13.5,Standard Post
IRL,*,*,4.5,20,14.5,Standard Post
GBR,*,BT%,0,0.05,2.2,Standard Post
GBR,*,BT%,0.05,0.1,2.4,Standard Post
GBR,*,BT%,0.1,0.25,3,Standard Post
GBR,*,BT%,0.25,0.5,4,Standard Post
GBR,*,BT%,0.5,1,6.5,Standard Post
GBR,*,BT%,1,1.5,7.5,Standard Post
GBR,*,BT%,1.5,2,7.5,Standard Post
GBR,*,BT%,2,2.5,9,Standard Post
GBR,*,BT%,2.5,3,10,Standard Post
GBR,*,BT%,3,3.5,11.5,Standard Post
GBR,*,BT%,3.5,4,12.5,Standard Post
GBR,*,BT%,4,4.5,13.5,Standard Post
GBR,*,BT%,4.5,20,14.5,Standard Post
GBR,*,*,0,0.05,2.7,Standard Post
GBR,*,*,0.05,0.1,3,Standard Post
GBR,*,*,0.1,0.25,4,Standard Post
GBR,*,*,0.25,0.5,5,Standard Post
GBR,*,*,0.5,1,7.5,Standard Post
GBR,*,*,1,1.5,10.75,Standard Post
GBR,*,*,1.5,2,10.75,Standard Post
GBR,*,*,2,2.5,30,Standard Post
GBR,*,*,2.5,3,34,Standard Post
GBR,*,*,3,3.5,36,Standard Post
GBR,*,*,3.5,4,38,Standard Post
GBR,*,*,4,4.5,40,Standard Post
GBR,*,*,4.5,20,42,Standard Post
!EU,*,*,0,0.05,2.7,Standard Post
!EU,*,*,0.05,0.1,3,Standard Post
!EU,*,*,0.1,0.25,4,Standard Post
!EU,*,*,0.25,0.5,5,Standard Post
!EU,*,*,0.5,1,7.5,Standard Post
!EU,*,*,1,1.5,10.75,Standard Post
!EU,*,*,1.5,2,10.75,Standard Post
!EU,*,*,2,2.5,36,Standard Post
!EU,*,*,2.5,3,40,Standard Post
!EU,*,*,3,3.5,46,Standard Post
!EU,*,*,3.5,4,50,Standard Post
!EU,*,*,4,4.5,55.5,Standard Post
!EU,*,*,4.5,20,60,Standard Post
*,*,*,0,0.05,2.7,Standard Post
*,*,*,0.05,0.1,3,Standard Post
*,*,*,0.1,0.25,4,Standard Post
*,*,*,0.25,0.5,5,Standard Post
*,*,*,0.5,1,10.75,Standard Post
*,*,*,1,1.5,17,Standard Post
*,*,*,1.5,2,17,Standard Post
*,*,*,2,2.5,36,Standard Post
